Timestamp,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,X,Y
1683182009.375085,28.000000,0.000000,0.474835,0.362183,-0.631042,0.495117,0.944451,-0.287633,-0.065926,-32.196663,-8.283307,75.759392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.251898,0.647304,0.222046,0.127824,0.147427,1.066988,0.507494,0.192007,0.151435,0.112810,1.064862,0.497054,0.229174,0.140895,0.190920,0.536154,0.319078,0.160259,0.096363,0.153906,0.238065,0.170483,0.046314,0.117066,0.070228,0.430408,0.188944,0.178764,0.075517,0.070437,0.459689,0.311127,0.188473,0.100326,0.036482,1.594176,0.684719,0.412604,0.075324,0.093309,1.698092,0.714512,0.411916,0.130456,0.118356,1.862451,0.587158,0.532334,0.117038,0.129191,2.140024,0.665142,0.556743,0.196539,0.272087,2.320032,1.031754,0.624029,0.182067,0.215311,1.944061,0.684509,0.569313,0.303171,0.307204,2.126520,0.684346,0.438793,0.231062,0.195456,720.3012322526766,625.699408006748
1683182009.406335,29.000000,0.000000,0.474852,0.362183,-0.630981,0.495178,0.944451,-0.287633,-0.065926,-32.349297,-8.299479,75.606773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.251898,0.647304,0.222046,0.127824,0.147427,1.066988,0.507494,0.192007,0.151435,0.112810,1.064862,0.497054,0.229174,0.140895,0.190920,0.536154,0.319078,0.160259,0.096363,0.153906,0.238065,0.170483,0.046314,0.117066,0.070228,0.430408,0.188944,0.178764,0.075517,0.070437,0.459689,0.311127,0.188473,0.100326,0.036482,1.594176,0.684719,0.412604,0.075324,0.093309,1.698092,0.714512,0.411916,0.130456,0.118356,1.862451,0.587158,0.532334,0.117038,0.129191,2.140024,0.665142,0.556743,0.196539,0.272087,2.320032,1.031754,0.624029,0.182067,0.215311,1.944061,0.684509,0.569313,0.303171,0.307204,2.126520,0.684346,0.438793,0.231062,0.195456,708.6395831487296,621.0396484199283
1683182009.437585,30.000000,0.000000,0.474992,0.361938,-0.630920,0.495300,0.940544,-0.268099,-0.052741,-32.389595,-8.395911,75.649818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.251898,0.647304,0.222046,0.127824,0.147427,1.066988,0.507494,0.192007,0.151435,0.112810,1.064862,0.497054,0.229174,0.140895,0.190920,0.536154,0.319078,0.160259,0.096363,0.153906,0.238065,0.170483,0.046314,0.117066,0.070228,0.430408,0.188944,0.178764,0.075517,0.070437,0.459689,0.311127,0.188473,0.100326,0.036482,1.594176,0.684719,0.412604,0.075324,0.093309,1.698092,0.714512,0.411916,0.130456,0.118356,1.862451,0.587158,0.532334,0.117038,0.129191,2.140024,0.665142,0.556743,0.196539,0.272087,2.320032,1.031754,0.624029,0.182067,0.215311,1.944061,0.684509,0.569313,0.303171,0.307204,2.126520,0.684346,0.438793,0.231062,0.195456,708.6395831487296,621.0396484199283
1683182009.468835,31.000000,0.000000,0.474980,0.362122,-0.630920,0.495178,0.947381,-0.282261,-0.059089,-32.373905,-8.215689,75.741356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.251898,0.647304,0.222046,0.127824,0.147427,1.066988,0.507494,0.192007,0.151435,0.112810,1.064862,0.497054,0.229174,0.140895,0.190920,0.536154,0.319078,0.160259,0.096363,0.153906,0.238065,0.170483,0.046314,0.117066,0.070228,0.430408,0.188944,0.178764,0.075517,0.070437,0.459689,0.311127,0.188473,0.100326,0.036482,1.594176,0.684719,0.412604,0.075324,0.093309,1.698092,0.714512,0.411916,0.130456,0.118356,1.862451,0.587158,0.532334,0.117038,0.129191,2.140024,0.665142,0.556743,0.196539,0.272087,2.320032,1.031754,0.624029,0.182067,0.215311,1.944061,0.684509,0.569313,0.303171,0.307204,2.126520,0.684346,0.438793,0.231062,0.195456,708.6395831487296,621.0396484199283
1683182009.500085,0.000000,0.000000,0.474830,0.361938,-0.631042,0.495300,0.932243,-0.265657,-0.055671,-32.409531,-8.061374,75.583832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175949,0.538471,0.227349,0.122915,0.145426,0.993475,0.466948,0.214918,0.161378,0.101084,1.013759,0.475936,0.218111,0.138123,0.185500,0.487906,0.290744,0.165774,0.098380,0.141656,0.277876,0.193054,0.045300,0.124669,0.065776,0.523149,0.255775,0.169831,0.067803,0.065823,0.415605,0.289313,0.136991,0.100840,0.035698,1.556334,0.563360,0.327894,0.074487,0.091979,1.687786,0.805305,0.360316,0.136925,0.123486,2.008440,0.608231,0.484447,0.117122,0.138236,2.112829,0.617943,0.490699,0.182283,0.274096,2.238602,0.939237,0.597898,0.179655,0.215997,1.974206,0.556068,0.458804,0.273979,0.301275,1.985103,0.598359,0.415264,0.201137,0.187395,700.8856298371918,599.5080976689187
1683182009.531335,1.000000,0.000000,0.474661,0.362183,-0.630981,0.495361,0.932243,-0.265657,-0.055671,-32.341721,-8.038047,75.611237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175949,0.538471,0.227349,0.122915,0.145426,0.993475,0.466948,0.214918,0.161378,0.101084,1.013759,0.475936,0.218111,0.138123,0.185500,0.487906,0.290744,0.165774,0.098380,0.141656,0.277876,0.193054,0.045300,0.124669,0.065776,0.523149,0.255775,0.169831,0.067803,0.065823,0.415605,0.289313,0.136991,0.100840,0.035698,1.556334,0.563360,0.327894,0.074487,0.091979,1.687786,0.805305,0.360316,0.136925,0.123486,2.008440,0.608231,0.484447,0.117122,0.138236,2.112829,0.617943,0.490699,0.182283,0.274096,2.238602,0.939237,0.597898,0.179655,0.215997,1.974206,0.556068,0.458804,0.273979,0.301275,1.985103,0.598359,0.415264,0.201137,0.187395,700.8856298371918,599.5080976689187
1683182009.562585,2.000000,0.000000,0.474534,0.362183,-0.630981,0.495483,0.948846,-0.274936,-0.061043,-32.263458,-7.920817,75.710098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175949,0.538471,0.227349,0.122915,0.145426,0.993475,0.466948,0.214918,0.161378,0.101084,1.013759,0.475936,0.218111,0.138123,0.185500,0.487906,0.290744,0.165774,0.098380,0.141656,0.277876,0.193054,0.045300,0.124669,0.065776,0.523149,0.255775,0.169831,0.067803,0.065823,0.415605,0.289313,0.136991,0.100840,0.035698,1.556334,0.563360,0.327894,0.074487,0.091979,1.687786,0.805305,0.360316,0.136925,0.123486,2.008440,0.608231,0.484447,0.117122,0.138236,2.112829,0.617943,0.490699,0.182283,0.274096,2.238602,0.939237,0.597898,0.179655,0.215997,1.974206,0.556068,0.458804,0.273979,0.301275,1.985103,0.598359,0.415264,0.201137,0.187395,716.4925814550334,592.7065529256475
1683182009.593835,3.000000,0.000000,0.474534,0.362183,-0.630981,0.495483,0.948846,-0.274936,-0.061043,-32.380070,-7.825862,75.760178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175949,0.538471,0.227349,0.122915,0.145426,0.993475,0.466948,0.214918,0.161378,0.101084,1.013759,0.475936,0.218111,0.138123,0.185500,0.487906,0.290744,0.165774,0.098380,0.141656,0.277876,0.193054,0.045300,0.124669,0.065776,0.523149,0.255775,0.169831,0.067803,0.065823,0.415605,0.289313,0.136991,0.100840,0.035698,1.556334,0.563360,0.327894,0.074487,0.091979,1.687786,0.805305,0.360316,0.136925,0.123486,2.008440,0.608231,0.484447,0.117122,0.138236,2.112829,0.617943,0.490699,0.182283,0.274096,2.238602,0.939237,0.597898,0.179655,0.215997,1.974206,0.556068,0.458804,0.273979,0.301275,1.985103,0.598359,0.415264,0.201137,0.187395,716.4925814550334,592.7065529256475
1683182009.625085,4.000000,0.000000,0.474441,0.362244,-0.630920,0.495605,0.943963,-0.275424,-0.066414,-32.509521,-7.680615,75.815750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.049587,0.440515,0.267444,0.122363,0.133757,0.904379,0.443952,0.274957,0.177754,0.093229,0.932227,0.451907,0.237137,0.139495,0.168383,0.440041,0.284542,0.178320,0.101317,0.126799,0.329698,0.222939,0.046569,0.123229,0.060715,0.597370,0.345205,0.167654,0.066321,0.060875,0.372485,0.294642,0.096348,0.102881,0.037170,1.442168,0.500616,0.251438,0.083982,0.088454,1.575423,0.908572,0.291977,0.142940,0.125831,2.064127,0.643869,0.412385,0.124108,0.143653,2.008082,0.638960,0.454631,0.176594,0.252955,2.001321,0.865154,0.618508,0.179610,0.204182,2.106427,0.504446,0.377466,0.241079,0.272244,1.756280,0.525337,0.415504,0.172736,0.172816,716.4925814550334,592.7065529256475
1683182009.656335,5.000000,0.000000,0.474475,0.362366,-0.630920,0.495483,0.943963,-0.275424,-0.066414,-32.634380,-7.767965,75.820755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.049587,0.440515,0.267444,0.122363,0.133757,0.904379,0.443952,0.274957,0.177754,0.093229,0.932227,0.451907,0.237137,0.139495,0.168383,0.440041,0.284542,0.178320,0.101317,0.126799,0.329698,0.222939,0.046569,0.123229,0.060715,0.597370,0.345205,0.167654,0.066321,0.060875,0.372485,0.294642,0.096348,0.102881,0.037170,1.442168,0.500616,0.251438,0.083982,0.088454,1.575423,0.908572,0.291977,0.142940,0.125831,2.064127,0.643869,0.412385,0.124108,0.143653,2.008082,0.638960,0.454631,0.176594,0.252955,2.001321,0.865154,0.618508,0.179610,0.204182,2.106427,0.504446,0.377466,0.241079,0.272244,1.756280,0.525337,0.415504,0.172736,0.172816,716.4925814550334,592.7065529256475
